区,朝向,配备电梯,所在楼层,链家编号,房屋户型,房屋价格（单位：万元）,装修类型,建筑面积,建筑时间
高新,北,有,高楼层 (共32层),106101048637,4室2厅,660,毛坯,202.86㎡,2013年建
成华,南,有,中楼层 (共17层),106100964658,2室2厅,95.5,精装,70.99㎡,2006年建
金牛,西南,有,高楼层 (共34层),106105123733,1室1厅,92,精装,47.32㎡,2009年建
新都,南 北,有,中楼层 (共33层),106104381786,4室2厅,128,毛坯,97.68㎡,2017年建
天府新区,东南,有,低楼层 (共44层),106104217345,3室2厅,193,精装,104.96㎡,2015年建
锦江,南,有,低楼层 (共11层),106104028521,3室2厅,215,简装,131.99㎡,2006年建
新都,东南,有,高楼层 (共18层),106104142987,3室1厅,127,简装,106.24㎡,2010年建
双流,东,有,中楼层 (共18层),106103922741,3室2厅,146,简装,123.67㎡,2009年建
青羊,南,无,低楼层 (共7层),106102763151,2室2厅,103.5,精装,88.94㎡,2003年建
天府新区,南,无,高楼层 (共6层),106105198611,2室2厅,97,简装,79.85㎡,2005年建
成华,东南,有,高楼层 (共8层),106105044943,3室1厅,158,精装,89.79㎡,2008年建
青羊,西南,有,高楼层 (共18层),106102898264,4室2厅,355,精装,153.67㎡,2010年建
武侯,西南,无,低楼层 (共7层),106105008523,3室2厅,139.5,精装,94.8㎡,2000年建
龙泉驿,东南,有,中楼层 (共18层),106105071482,3室1厅,84,简装,82.85㎡,2015年建
武侯,东南,有,低楼层 (共17层),106105127476,3室1厅,205,简装,115.15㎡,2004年建
龙泉驿,西南,有,中楼层 (共33层),106102064544,4室2厅,152,毛坯,108.76㎡,未知年建
郫都,东南,有,中楼层 (共18层),106105106562,2室1厅,60.6,简装,46㎡,2011年建
成华,北,有,低楼层 (共18层),106105223408,3室2厅,119,简装,82.88㎡,2008年建
金牛,东南,有,高楼层 (共25层),106105076459,1室1厅,91.5,精装,48.41㎡,2009年建
金牛,东南,有,中楼层 (共32层),106105089382,2室1厅,139.9,精装,73.59㎡,2012年建
温江,南,有,高楼层 (共11层),106105086091,2室1厅,84,精装,61.78㎡,2014年建
青羊,西北,有,高楼层 (共24层),106105084380,2室1厅,97,简装,67.34㎡,2011年建
锦江,南,有,高楼层 (共18层),106105080109,2室1厅,99.9,简装,80.66㎡,2010年建
成华,南,有,中楼层 (共20层),106105079193,2室1厅,82,简装,51.6㎡,2012年建
锦江,西南,有,低楼层 (共33层),106104682117,3室2厅,196,精装,87.76㎡,2012年建
青羊,北,有,中楼层 (共11层),106105077452,2室2厅,88,毛坯,80.08㎡,未知年建
郫都,西北,有,高楼层 (共34层),106104285767,3室2厅,128,精装,81.74㎡,2013年建
武侯,西南,有,低楼层 (共17层),106105077047,2室1厅,196,精装,79.57㎡,2014年建
龙泉驿,南,有,中楼层 (共34层),106104094055,4室1厅,195,精装,125㎡,2013年建
高新,南,有,高楼层 (共30层),106105254645,3室2厅,520,精装,134.5㎡,2013年建
成华,东南,有,高楼层 (共33层),106105076416,2室1厅,139.9,精装,89.95㎡,2009年建
成华,东南,有,低楼层 (共37层),106105238123,3室2厅,185,精装,85.66㎡,2017年建
高新,南,有,低楼层 (共18层),106105075791,1室1厅,90.3,简装,55.11㎡,2013年建
温江,南,有,低楼层 (共18层),106105073461,2室1厅,80,精装,70.1㎡,未知年建
天府新区,东,有,高楼层 (共44层),106105237513,3室2厅,200,精装,105.75㎡,2015年建
成华,东,有,中楼层 (共11层),106105072367,2室2厅,148,精装,92.97㎡,2008年建
郫都,东,有,低楼层 (共24层),106105230277,3室1厅,72,精装,80.89㎡,2016年建
双流,东南,有,高楼层 (共15层),106105071483,2室1厅,106,简装,88.5㎡,2014年建
成华,南,有,高楼层 (共21层),106105228855,3室1厅,155,精装,87.78㎡,2012年建
青羊,西,有,高楼层 (共19层),106105225925,3室2厅,158,精装,92.83㎡,2016年建
锦江,西北,有,高楼层 (共32层),106105066541,2室1厅,120,精装,58.55㎡,2009年建
都江堰,南,无,高楼层 (共6层),106105065735,2室1厅,54,精装,69.96㎡,未知年建
金牛,南 北,有,高楼层 (共20层),106105265761,3室1厅,195,精装,103.28㎡,2012年建
锦江,东南,有,中楼层 (共32层),106105015274,3室2厅,278,精装,89.87㎡,2011年建
新都,东,有,低楼层 (共27层),106105263447,3室1厅,82,精装,88.27㎡,2013年建
